Gene	Cytoband	(A) Black or African American	(B) White	(A) Black or African American	(B) White	Log Ratio	p-Value	q-Value	Higher expression in
SPG7	16q24.3	10.82	10.39	0.40	0.55	0.42	2.43e-9	9.60e-7	(A) Black or African American
TSPOAP1	17q22	8.60	7.67	0.88	1.35	0.93	2.47e-9	9.60e-7	(A) Black or African American
NR3C1	5q31.3	11.12	11.66	0.53	0.60	-0.54	2.48e-9	9.60e-7	(B) White
VIRMA	8q22.1	10.05	10.38	0.33	0.40	-0.34	3.94e-9	1.502e-6	(B) White
DCTN4	5q33.1	10.64	10.96	0.33	0.38	-0.33	4.50e-9	1.652e-6	(B) White
NDOR1	9q34.3	8.65	8.13	0.50	0.78	0.52	4.84e-9	1.735e-6	(A) Black or African American
WASH2P	2q14.1	8.81	8.13	0.68	0.74	0.68	4.90e-9	1.735e-6	(A) Black or African American
CLBA1	14q32.33	8.30	7.76	0.54	0.60	0.54	5.19e-9	1.755e-6	(A) Black or African American
KMT5C	19q13.42	7.04	6.33	0.71	0.84	0.71	5.21e-9	1.755e-6	(A) Black or African American
LRP3	19q13.11	9.59	8.79	0.78	1.11	0.80	5.24e-9	1.755e-6	(A) Black or African American
TCEA2	20q13.33	8.93	8.37	0.55	0.71	0.56	5.36e-9	1.755e-6	(A) Black or African American
MAN2C1	15q24.2	10.76	10.18	0.58	0.73	0.58	5.39e-9	1.755e-6	(A) Black or African American
SH3GLB2	9q34.11	9.95	9.43	0.53	0.65	0.53	5.71e-9	1.810e-6	(A) Black or African American
CACTIN	19p13.3	8.89	8.46	0.42	0.57	0.43	5.75e-9	1.810e-6	(A) Black or African American
NOTCH2NLA	1q21.1	9.12	8.36	0.78	0.59	0.76	5.83e-9	1.810e-6	(A) Black or African American
ZNF775	7q36.1	6.18	5.55	0.64	0.71	0.63	7.65e-9	2.339e-6	(A) Black or African American
LZTS2	10q24.31	10.76	10.26	0.50	0.64	0.50	8.17e-9	2.459e-6	(A) Black or African American
CCDC12	3p21.31	8.91	8.30	0.63	0.73	0.61	1.00e-8	2.976e-6	(A) Black or African American
UNKL	16p13.3	8.29	7.79	0.51	0.62	0.50	1.03e-8	3.026e-6	(A) Black or African American
FAM131A	3q27.1	8.49	8.03	0.47	0.57	0.46	1.10e-8	3.158e-6	(A) Black or African American
PRH1	12p13.2	5.67	5.05	0.64	0.70	0.62	1.14e-8	3.224e-6	(A) Black or African American
ANAPC2	9q34.3	9.67	9.24	0.44	0.58	0.43	1.15e-8	3.224e-6	(A) Black or African American
MAN1B1-DT	9q34.3	6.29	5.70	0.61	0.77	0.59	1.39e-8	3.813e-6	(A) Black or African American
NAXD	13q34	10.19	9.87	0.32	0.43	0.32	1.40e-8	3.813e-6	(A) Black or African American
RRP7BP	22q13.2	6.59	5.89	0.71	0.99	0.70	1.48e-8	3.979e-6	(A) Black or African American
TMEM115	3p21.31	10.19	9.80	0.40	0.50	0.39	1.53e-8	4.018e-6	(A) Black or African American
RHOT2	16p13.3	10.61	10.08	0.54	0.73	0.52	1.53e-8	4.018e-6	(A) Black or African American
SLC39A13	11p11.2	10.65	10.17	0.49	0.69	0.48	1.62e-8	4.172e-6	(A) Black or African American
NOXA1	9q34.3	7.50	6.58	0.94	1.30	0.92	1.63e-8	4.172e-6	(A) Black or African American
LOC93622	4p16.1	8.17	7.75	0.45	0.45	0.42	1.69e-8	4.272e-6	(A) Black or African American
TMTC3	12q21.32	9.64	10.06	0.44	0.53	-0.42	1.72e-8	4.279e-6	(B) White
SLC41A2	12q23.3	8.68	9.29	0.64	0.73	-0.61	1.74e-8	4.279e-6	(B) White
PLXNB1	3p21.31	10.88	10.14	0.78	0.73	0.73	1.79e-8	4.356e-6	(A) Black or African American
TMED2	12q24.31	12.13	12.49	0.37	0.47	-0.36	1.90e-8	4.566e-6	(B) White
NEIL1	15q24.2	6.87	5.84	1.10	1.13	1.03	2.01e-8	4.773e-6	(A) Black or African American
CRYBB2	22q11.23	2.87	1.86	1.09	1.09	1.02	2.05e-8	4.817e-6	(A) Black or African American
DCXR	17q25.3	9.47	8.61	0.91	0.99	0.85	2.10e-8	4.872e-6	(A) Black or African American
EXD3	9q34.3	8.03	7.31	0.76	0.86	0.72	2.18e-8	4.994e-6	(A) Black or African American
PRSS45P	3p21.31	2.16	0.84	1.44	0.84	1.32	2.23e-8	5.061e-6	(A) Black or African American
ABHD16B	20q13.33	7.45	6.72	0.78	0.85	0.73	2.36e-8	5.229e-6	(A) Black or African American
SNHG10	14q32.13	5.98	5.15	0.87	1.13	0.83	2.36e-8	5.229e-6	(A) Black or African American
LYRM9	17q11.2	8.76	8.29	0.49	0.68	0.47	2.43e-8	5.304e-6	(A) Black or African American
ZNF219	14q11.2	9.39	8.72	0.70	0.85	0.66	2.44e-8	5.304e-6	(A) Black or African American
SSPO	7q36.1	4.63	3.34	1.38	1.42	1.29	2.47e-8	5.309e-6	(A) Black or African American
MAPK1	22q11.22	11.93	12.31	0.41	0.49	-0.38	2.52e-8	5.349e-6	(B) White
MZF1	19q13.43	8.62	7.96	0.69	0.88	0.66	2.61e-8	5.479e-6	(A) Black or African American
PTER	10p13	9.29	10.08	0.81	1.27	-0.79	2.72e-8	5.656e-6	(B) White
CC2D1A	19p13.12	9.59	9.20	0.42	0.53	0.39	3.06e-8	6.295e-6	(A) Black or African American
STK4	20q13.12	9.85	10.23	0.41	0.50	-0.39	3.22e-8	6.571e-6	(B) White
TAF6L	11q12.3	8.15	7.67	0.52	0.53	0.48	3.28e-8	6.626e-6	(A) Black or African American
DHX30	3p21.31	10.41	10.05	0.39	0.43	0.36	3.40e-8	6.791e-6	(A) Black or African American
REM2	14q11.2	3.07	2.24	0.90	1.02	0.83	3.49e-8	6.909e-6	(A) Black or African American
RABL6	9q34.3	10.88	10.50	0.41	0.58	0.39	4.15e-8	8.138e-6	(A) Black or African American
IGFALS	16p13.3	3.40	2.28	1.24	1.11	1.12	4.33e-8	8.401e-6	(A) Black or African American
ZFPM1	16q24.2	6.49	5.73	0.82	0.98	0.76	4.43e-8	8.504e-6	(A) Black or African American
RECQL5	17q25.1	9.28	8.89	0.42	0.52	0.39	4.63e-8	8.808e-6	(A) Black or African American
ACER3	11q13.5	8.21	8.75	0.58	0.60	-0.53	4.67e-8	8.808e-6	(B) White
ZNF513	2p23.3	8.79	8.25	0.59	0.68	0.54	4.74e-8	8.856e-6	(A) Black or African American
SGSM2	17p13.3	10.19	9.61	0.63	0.79	0.59	4.86e-8	8.990e-6	(A) Black or African American
ZNF837	19q13.43	5.64	4.98	0.71	0.87	0.65	4.96e-8	9.100e-6	(A) Black or African American
ADAM18	8p11.22	0.74	1.94	1.22	2.15	-1.20	5.11e-8	9.152e-6	(B) White
SPRN	10q26.3	6.76	6.13	0.69	0.81	0.63	5.15e-8	9.152e-6	(A) Black or African American
LMAN1	18q21.32	12.10	12.48	0.41	0.55	-0.38	5.23e-8	9.152e-6	(B) White
PWP1	12q23.3	9.79	10.00	0.23	0.29	-0.21	5.26e-8	9.152e-6	(B) White
ZBTB45	19q13.43	8.14	7.80	0.35	0.52	0.33	5.27e-8	9.152e-6	(A) Black or African American
CSNK1D	17q25.3	11.70	11.37	0.37	0.41	0.33	5.27e-8	9.152e-6	(A) Black or African American
CDC73	1q31.2	9.76	10.15	0.43	0.47	-0.39	5.31e-8	9.152e-6	(B) White
ASB6	9q34.11	9.55	9.24	0.33	0.49	0.31	5.87e-8	9.957e-6	(A) Black or African American
TELO2	16p13.3	9.32	8.84	0.51	0.76	0.48	5.87e-8	9.957e-6	(A) Black or African American
SH2B1	16p11.2	10.27	9.79	0.52	0.68	0.48	5.98e-8	9.975e-6	(A) Black or African American
RPS26	12q13.2	9.60	8.96	0.69	0.91	0.64	5.98e-8	9.975e-6	(A) Black or African American
FAM86HP	3q22.1	4.83	4.20	0.69	0.82	0.63	6.36e-8	1.044e-5	(A) Black or African American
DCUN1D2	13q34	7.72	7.31	0.46	0.52	0.41	6.36e-8	1.044e-5	(A) Black or African American
MAGEF1	3q27.1	9.63	9.24	0.43	0.44	0.39	6.69e-8	1.088e-5	(A) Black or African American
FTH1P3	2p23.3	8.59	7.79	0.90	0.71	0.80	6.79e-8	1.088e-5	(A) Black or African American
LOC90784	2p11.2	6.94	7.84	1.03	0.50	-0.90	6.80e-8	1.088e-5	(B) White
SLC10A7	4q31.22	7.30	7.69	0.44	0.42	-0.39	7.05e-8	1.119e-5	(B) White
PRPF40B	12q13.12	8.44	7.85	0.65	0.74	0.58	7.73e-8	1.218e-5	(A) Black or African American
APOL6	22q12.3	10.69	11.35	0.74	0.69	-0.65	7.91e-8	1.237e-5	(B) White
TRMT61A	14q32.33	8.71	8.21	0.55	0.70	0.50	8.39e-8	1.302e-5	(A) Black or African American
FAM86FP	12p13.31	5.76	5.09	0.75	0.85	0.67	8.52e-8	1.312e-5	(A) Black or African American
ERLIN1	10q24.31	9.76	10.03	0.30	0.39	-0.27	8.79e-8	1.344e-5	(B) White
EPS15	1p32.3	10.48	10.78	0.34	0.33	-0.30	9.15e-8	1.388e-5	(B) White
NISCH	3p21.1	10.64	10.21	0.48	0.60	0.43	9.72e-8	1.463e-5	(A) Black or African American
METRNL	17q25.3	9.08	8.33	0.82	1.13	0.75	9.90e-8	1.466e-5	(A) Black or African American
DICER1-AS1	14q32.13	6.09	5.32	0.86	1.03	0.77	9.93e-8	1.466e-5	(A) Black or African American
MMS22L	6q16.1	6.99	7.58	0.67	0.66	-0.59	9.95e-8	1.466e-5	(B) White
ADHFE1	8q13.1	7.49	6.70	0.88	1.06	0.78	1.05e-7	1.530e-5	(A) Black or African American
UBALD1	16p13.3	8.73	8.12	0.69	0.72	0.61	1.14e-7	1.651e-5	(A) Black or African American
FLJ37453	1p36.21	6.80	6.18	0.72	0.63	0.62	1.16e-7	1.678e-5	(A) Black or African American
IRF2BP1	19q13.32	9.23	8.80	0.48	0.58	0.43	1.18e-7	1.687e-5	(A) Black or African American
BTN3A3	6p22.2	9.36	10.09	0.85	0.74	-0.74	1.20e-7	1.699e-5	(B) White
ABHD8	19p13.11	8.29	7.73	0.64	0.69	0.56	1.23e-7	1.730e-5	(A) Black or African American
SRP72	4q12	10.79	11.08	0.32	0.40	-0.28	1.25e-7	1.754e-5	(B) White
USP20	9q34.11	9.31	8.96	0.39	0.51	0.35	1.33e-7	1.840e-5	(A) Black or African American
WHRN	9q32	8.07	7.41	0.74	0.94	0.66	1.33e-7	1.840e-5	(A) Black or African American
ABCD2	12q12	3.73	4.81	1.24	1.19	-1.08	1.34e-7	1.840e-5	(B) White
INPP5E	9q34.3	8.42	7.94	0.54	0.66	0.48	1.35e-7	1.844e-5	(A) Black or African American
SERHL	22q13.2	6.62	6.08	0.63	0.61	0.54	1.38e-7	1.868e-5	(A) Black or African American
IL11RA	9p13.3	7.46	6.86	0.67	0.91	0.60	1.40e-7	1.881e-5	(A) Black or African American
TMEM175	4p16.3	8.71	8.24	0.53	0.68	0.47	1.47e-7	1.961e-5	(A) Black or African American
RNF208	9q34.3	7.20	6.39	0.92	1.10	0.81	1.49e-7	1.979e-5	(A) Black or African American
COPA	1q23.2	12.19	12.48	0.33	0.37	-0.29	1.52e-7	1.999e-5	(B) White
MROH1	8q24.3	9.15	8.68	0.53	0.72	0.47	1.53e-7	1.999e-5	(A) Black or African American
LMF1	16p13.3	8.80	8.27	0.62	0.72	0.54	1.58e-7	2.030e-5	(A) Black or African American
GPRC5C	17q25.1	11.47	10.95	0.58	0.80	0.52	1.60e-7	2.030e-5	(A) Black or African American
PTRH1	9q34.11	7.10	6.46	0.73	0.83	0.63	1.60e-7	2.030e-5	(A) Black or African American
HTR1F	3p11.2-p11.1	3.51	4.87	1.60	1.40	-1.36	1.60e-7	2.030e-5	(B) White
RHPN1	8q24.3	8.45	7.53	1.05	1.22	0.92	1.61e-7	2.030e-5	(A) Black or African American
SNRNP70	19q13.33	11.51	10.92	0.67	0.78	0.59	1.61e-7	2.030e-5	(A) Black or African American
LRSAM1	9q33.3-q34.11	9.14	8.80	0.39	0.51	0.34	1.63e-7	2.038e-5	(A) Black or African American
EIF2S3	Xp22.11	11.90	12.22	0.36	0.41	-0.31	1.64e-7	2.046e-5	(B) White
SLC35A5	3q13.2	9.40	9.79	0.46	0.49	-0.40	1.65e-7	2.046e-5	(B) White
LYRM7	5q23.3-q31.1	8.73	9.20	0.55	0.54	-0.47	1.72e-7	2.119e-5	(B) White
SCAND1	20q11.23	9.93	9.18	0.85	1.00	0.74	1.77e-7	2.155e-5	(A) Black or African American
CREB3L2	7q33	11.01	11.47	0.54	0.47	-0.46	1.78e-7	2.155e-5	(B) White
NOXO1	16p13.3	1.91	1.32	0.67	0.86	0.59	1.78e-7	2.155e-5	(A) Black or African American
MAP3K10	19q13.2	8.07	7.57	0.57	0.70	0.50	1.80e-7	2.161e-5	(A) Black or African American
DNAJC3	13q32.1	11.13	11.44	0.35	0.49	-0.31	1.81e-7	2.161e-5	(B) White
LINC01003	7q36.1	6.54	6.03	0.59	0.62	0.51	1.90e-7	2.255e-5	(A) Black or African American
SNRPN	15q11.2	11.42	11.07	0.39	0.62	0.36	1.92e-7	2.268e-5	(A) Black or African American
ERGIC2	12p11.22	9.04	9.32	0.33	0.43	-0.29	1.98e-7	2.319e-5	(B) White
TTC27	2p22.3	8.48	8.78	0.35	0.38	-0.30	2.04e-7	2.374e-5	(B) White
ASH1L-AS1	1q22	5.35	4.80	0.65	0.66	0.55	2.06e-7	2.374e-5	(A) Black or African American
TRAM1	8q13.3	12.46	12.86	0.45	0.57	-0.39	2.06e-7	2.374e-5	(B) White
NSMF	9q34.3	10.64	9.98	0.77	0.83	0.66	2.09e-7	2.395e-5	(A) Black or African American
UBAC1	9q34.3	9.59	9.27	0.36	0.51	0.32	2.14e-7	2.438e-5	(A) Black or African American
POLR2J4	7p13	8.23	7.79	0.50	0.61	0.44	2.18e-7	2.467e-5	(A) Black or African American
IL9R	Xq28 and Yq12	1.65	2.45	0.93	1.12	-0.81	2.30e-7	2.588e-5	(B) White
CTBP1	4p16.3	11.48	11.20	0.31	0.44	0.28	2.41e-7	2.700e-5	(A) Black or African American
FSCN2	17q25.3	3.19	2.10	1.29	1.36	1.09	2.44e-7	2.719e-5	(A) Black or African American
GIGYF1	7q22.1	10.52	10.04	0.54	0.78	0.48	2.65e-7	2.918e-5	(A) Black or African American
VRK2	2p16.1	8.18	8.53	0.42	0.45	-0.35	2.73e-7	2.989e-5	(B) White
PRRG2	19q13.33	4.95	3.64	1.59	1.18	1.31	2.76e-7	3.014e-5	(A) Black or African American
E4F1	16p13.3	8.84	8.34	0.59	0.72	0.50	2.85e-7	3.073e-5	(A) Black or African American
CLU	8p21.1	15.69	14.79	1.05	1.25	0.90	2.85e-7	3.073e-5	(A) Black or African American
GNG7	19p13.3	8.40	7.78	0.73	0.90	0.63	3.02e-7	3.220e-5	(A) Black or African American
GAK	4p16.3	10.79	10.42	0.42	0.52	0.36	3.02e-7	3.220e-5	(A) Black or African American
PMPCA	9q34.3	10.16	9.79	0.43	0.50	0.37	3.03e-7	3.220e-5	(A) Black or African American
NBN	8q21.3	10.42	10.83	0.48	0.56	-0.41	3.08e-7	3.254e-5	(B) White
HRH2	5q35.2	6.09	7.65	1.87	1.83	-1.56	3.10e-7	3.258e-5	(B) White
RABEP2	16p11.2	9.02	8.48	0.63	0.80	0.54	3.20e-7	3.347e-5	(A) Black or African American
EMC10	19q13.33	11.90	11.47	0.52	0.59	0.44	3.39e-7	3.529e-5	(A) Black or African American
NFATC3	16q22.1	9.15	9.56	0.50	0.45	-0.42	3.44e-7	3.563e-5	(B) White
C6ORF226	6p21.1	6.21	5.59	0.74	0.81	0.62	3.52e-7	3.627e-5	(A) Black or African American
COPS2	15q21.1	10.56	10.90	0.41	0.45	-0.35	3.56e-7	3.644e-5	(B) White
PDCL3P4	3q12.3	6.15	5.68	0.56	0.67	0.47	3.58e-7	3.645e-5	(A) Black or African American
GOLGA8B	15q14	9.21	8.02	1.39	1.82	1.19	3.60e-7	3.649e-5	(A) Black or African American
RBM42	19q13.12	10.38	9.95	0.50	0.67	0.43	3.62e-7	3.649e-5	(A) Black or African American
SETD1A	16p11.2	9.77	9.52	0.26	0.51	0.24	3.75e-7	3.764e-5	(A) Black or African American
PPP1R12C	19q13.42	10.63	10.21	0.49	0.61	0.42	3.77e-7	3.765e-5	(A) Black or African American
NRL	14q11.2-q12	5.07	4.62	0.53	0.63	0.45	3.85e-7	3.831e-5	(A) Black or African American
SH3GLB1	1p22.3	11.35	11.70	0.43	0.40	-0.35	3.98e-7	3.936e-5	(B) White
CYSRT1	9q34.3	2.65	1.53	1.37	1.19	1.12	4.05e-7	3.982e-5	(A) Black or African American
ARRDC1-AS1	9q34.3	7.27	6.72	0.66	0.77	0.55	4.07e-7	3.986e-5	(A) Black or African American
SIN3B	19p13.11	10.32	9.94	0.44	0.56	0.38	4.19e-7	4.080e-5	(A) Black or African American
CHKA	11q13.2	8.64	8.07	0.70	0.70	0.58	4.26e-7	4.133e-5	(A) Black or African American
ALS2CL	3p21.31	7.71	6.68	1.22	1.44	1.02	4.30e-7	4.148e-5	(A) Black or African American
DPH7	9q34.3	8.12	7.62	0.59	0.72	0.50	4.37e-7	4.203e-5	(A) Black or African American
CNOT2	12q15	10.18	10.38	0.24	0.26	-0.20	4.44e-7	4.248e-5	(B) White
USO1	4q21.1	10.92	11.28	0.42	0.51	-0.36	4.55e-7	4.334e-5	(B) White
FPGS	9q34.11	9.55	9.22	0.37	0.58	0.32	4.63e-7	4.368e-5	(A) Black or African American
TUBB7P	4q35.2	1.14	0.48	0.82	0.63	0.66	4.63e-7	4.368e-5	(A) Black or African American
FBXL15	10q24.32	8.27	7.65	0.75	0.83	0.62	4.67e-7	4.384e-5	(A) Black or African American
ZNF143	11p15.4	8.13	8.39	0.32	0.35	-0.26	4.78e-7	4.468e-5	(B) White
NELFA	4p16.3	9.30	8.96	0.41	0.49	0.34	4.84e-7	4.501e-5	(A) Black or African American
NMD3	3q26.1	9.95	10.28	0.39	0.54	-0.34	4.92e-7	4.558e-5	(B) White
ZNF468	19q13.41	8.26	8.71	0.54	0.59	-0.45	5.27e-7	4.829e-5	(B) White
NRAS	1p13.2	10.52	10.88	0.43	0.48	-0.35	5.41e-7	4.941e-5	(B) White
LUC7L	16p13.3	9.51	8.87	0.76	0.95	0.64	5.45e-7	4.951e-5	(A) Black or African American
ADAT3	19p13.3	5.64	4.91	0.88	0.97	0.72	5.58e-7	5.051e-5	(A) Black or African American
EGFL8	6p21.32	6.98	5.89	1.33	1.45	1.09	5.65e-7	5.076e-5	(A) Black or African American
CEP170B	14q32.33	9.90	9.30	0.73	0.81	0.60	5.74e-7	5.115e-5	(A) Black or African American
PAXX	9q34.3	8.45	7.79	0.81	0.90	0.67	5.75e-7	5.115e-5	(A) Black or African American
IFIT3	10q23.31	9.93	10.42	0.60	0.63	-0.49	5.81e-7	5.140e-5	(B) White
CAPS	19p13.3	7.36	6.31	1.29	1.29	1.05	5.87e-7	5.176e-5	(A) Black or African American
TUSC2	3p21.31	9.06	8.66	0.49	0.49	0.40	5.92e-7	5.192e-5	(A) Black or African American
GIPC1	19p13.12	10.53	10.05	0.58	0.67	0.48	5.99e-7	5.228e-5	(A) Black or African American
TAS2R40	7q34	0.01	0.08	0.06	0.22	-0.08	6.08e-7	5.284e-5	(B) White
GIT2	12q24.11	11.02	11.46	0.54	0.59	-0.44	6.21e-7	5.381e-5	(B) White
SELENOO	22q13.33	8.95	8.40	0.68	0.71	0.55	6.28e-7	5.412e-5	(A) Black or African American
PCSK1N	Xp11.23	7.17	5.23	2.36	2.68	1.94	6.31e-7	5.420e-5	(A) Black or African American
TSSK6	19p13.11	4.74	4.06	0.84	0.88	0.68	6.35e-7	5.425e-5	(A) Black or African American
ZNF517	8q24.3	7.78	7.38	0.49	0.56	0.40	6.43e-7	5.472e-5	(A) Black or African American
UBE2Q2P2	15q25.2	2.88	2.28	0.73	0.84	0.60	6.46e-7	5.472e-5	(A) Black or African American
H1FX	3q21.3	10.56	9.99	0.69	0.84	0.57	6.49e-7	5.478e-5	(A) Black or African American
MED26	19p13.11	7.85	7.55	0.36	0.39	0.30	6.61e-7	5.558e-5	(A) Black or African American
UBTD1	10q24.1-q24.2	8.29	7.78	0.61	0.84	0.51	6.73e-7	5.630e-5	(A) Black or African American
SCAF1	19q13.33	10.58	10.26	0.38	0.55	0.32	6.76e-7	5.634e-5	(A) Black or African American
BRF1	14q32.33	9.32	8.92	0.49	0.61	0.40	6.79e-7	5.634e-5	(A) Black or African American
PPP3R1	2p14	10.16	10.41	0.29	0.40	-0.24	6.90e-7	5.706e-5	(B) White
OXLD1	17q25.3	8.50	7.89	0.75	0.76	0.61	7.24e-7	5.966e-5	(A) Black or African American
TRIQK	8q22.1	9.57	9.99	0.51	0.55	-0.41	7.31e-7	5.988e-5	(B) White
RILPL1	12q24.31	8.69	8.32	0.45	0.59	0.37	7.33e-7	5.988e-5	(A) Black or African American
ABCA7	19p13.3	8.13	7.41	0.87	1.10	0.72	7.40e-7	6.019e-5	(A) Black or African American
AMIGO3	3p21.31	6.25	5.75	0.59	0.88	0.50	7.43e-7	6.019e-5	(A) Black or African American
UNC5C	4q22.3	3.24	4.46	1.53	1.34	-1.22	7.46e-7	6.022e-5	(B) White
TSEN54	17q25.1	8.61	8.26	0.43	0.56	0.35	7.54e-7	6.061e-5	(A) Black or African American
UCKL1	20q13.33	9.25	8.85	0.48	0.66	0.40	7.58e-7	6.066e-5	(A) Black or African American
AGPS	2q31.2	10.29	10.71	0.52	0.53	-0.42	7.70e-7	6.137e-5	(B) White
PJVK	2q31.2	5.01	4.20	1.03	0.89	0.82	7.74e-7	6.152e-5	(A) Black or African American
PRIM1	12q13.3	6.15	6.79	0.80	0.76	-0.64	7.78e-7	6.157e-5	(B) White
MAPK8IP3	16p13.3	10.65	9.86	0.95	1.30	0.79	7.87e-7	6.201e-5	(A) Black or African American
GET4	7p22.3	9.76	9.31	0.55	0.61	0.45	7.95e-7	6.243e-5	(A) Black or African American
TBC1D3P1-DHX40P1	17q23.1	1.22	0.44	1.00	0.80	0.79	8.00e-7	6.259e-5	(A) Black or African American
FBXL19	16p11.2	8.76	8.34	0.51	0.64	0.42	8.09e-7	6.302e-5	(A) Black or African American
