Gene	Cytoband	(A) Black or African American	(B) White	(A) Black or African American	(B) White	Log Ratio	p-Value	q-Value	Higher expression in
ASB12	Xq11.2	2.09	2.62	0.89	0.77	-0.53	6.574e-5	0.0259	(B) White
D2HGDH	2q37.3	9.36	9.80	0.71	0.79	-0.44	7.512e-5	0.0291	(B) White
RPS26P11	Xq13.1	1.43	1.00	0.69	0.75	0.43	8.274e-5	0.0309	(A) Black or African American
C7ORF69	7p12.3	0.05	0.19	0.16	0.37	-0.13	8.296e-5	0.0309	(B) White
DDX11L2	2q14.1	2.96	3.94	1.63	1.56	-0.97	9.467e-5	0.0341	(B) White
GPRC5D	12p13.1	1.28	1.88	0.99	1.05	-0.60	9.653e-5	0.0341	(B) White
XKR9	8q13.3	3.08	3.88	1.30	1.42	-0.80	9.700e-5	0.0341	(B) White
SLC6A7	5q32	0.67	1.23	0.87	1.18	-0.57	9.828e-5	0.0341	(B) White
AKR1C2	10p15.1	9.13	10.30	1.98	1.87	-1.17	1.001e-4	0.0342	(B) White
GZMH	14q12	5.19	4.46	1.09	1.62	0.73	1.047e-4	0.0351	(A) Black or African American
IFITM3	11p15.5	13.11	12.61	0.79	1.01	0.50	1.119e-4	0.0369	(A) Black or African American
C4BPA	1q32.2	3.83	2.26	2.72	2.32	1.57	1.143e-4	0.0371	(A) Black or African American
USP32P1	17p11.2	5.73	6.91	1.90	2.31	-1.18	1.183e-4	0.0378	(B) White
TUBB7P	4q35.2	1.98	1.47	0.84	0.96	0.51	1.275e-4	0.0401	(A) Black or African American
ARSE	Xp22.33	8.37	10.31	3.61	1.23	-1.94	1.298e-4	0.0402	(B) White
PRSS21	16p13.3	1.11	1.91	1.23	1.77	-0.80	1.337e-4	0.0408	(B) White
RPL9	4p14	10.24	9.17	1.81	1.88	1.07	1.389e-4	0.0417	(A) Black or African American
GPR153	1p36.31	8.56	7.71	1.49	1.39	0.86	1.490e-4	0.0441	(A) Black or African American
BTNL3	5q35.3	0.20	0.56	0.52	0.94	-0.37	1.665e-4	0.0480	(B) White
CABYR	18q11.2	4.62	5.23	1.06	1.08	-0.62	1.668e-4	0.0480	(B) White
RNF112	17p11.2	3.33	2.73	1.00	1.18	0.60	1.728e-4	0.0490	(A) Black or African American
C19ORF71	19p13.3	3.69	4.26	1.01	0.92	-0.57	1.768e-4	0.0494	(B) White
SERHL	22q13.2	6.76	6.40	0.61	0.64	0.35	1.885e-4	0.0514	(A) Black or African American
MARCO	2q14.2	4.89	6.30	2.43	2.61	-1.41	1.888e-4	0.0514	(B) White
RFFL	17q12	9.13	9.43	0.48	0.67	-0.30	1.954e-4	0.0522	(B) White
BCRP3	22q11.23	5.51	6.40	1.54	1.61	-0.89	1.972e-4	0.0522	(B) White
BORCS7	10q24.32	9.55	9.26	0.52	0.51	0.29	2.011e-4	0.0526	(A) Black or African American
TDGF1	3p21.31	1.14	2.23	1.64	2.72	-1.10	2.062e-4	0.0532	(B) White
CD40LG	Xq26.3	4.26	3.55	1.23	1.36	0.71	2.107e-4	0.0537	(A) Black or African American
TELO2	16p13.3	9.65	9.97	0.58	0.55	-0.32	2.211e-4	0.0555	(B) White
SOX30	5q33.3	2.23	1.40	1.55	1.09	0.83	2.253e-4	0.0555	(A) Black or African American
USP6	17p13.2	5.36	5.86	0.81	1.11	-0.50	2.263e-4	0.0555	(B) White
SLC1A7	1p32.3	2.42	3.27	1.46	1.70	-0.85	2.370e-4	0.0569	(B) White
P2RY14	3q25.1	4.04	3.47	0.99	1.16	0.58	2.377e-4	0.0569	(A) Black or African American
CD1E	1q23.1	4.38	3.34	1.85	1.81	1.04	2.433e-4	0.0571	(A) Black or African American
TDGF1P3	Xq23	0.42	1.09	0.94	1.82	-0.67	2.442e-4	0.0571	(B) White
HLA-DPB2	6p21.32	3.35	2.68	1.12	1.49	0.68	2.589e-4	0.0599	(A) Black or African American
CLLU1OS	12q22	0.21	0.60	0.55	1.11	-0.39	2.828e-4	0.0647	(B) White
LRRC55	11q12.1	1.80	1.24	0.99	1.04	0.56	2.977e-4	0.0663	(A) Black or African American
FCN2	9q34.3	2.08	1.32	1.35	1.41	0.75	2.996e-4	0.0663	(A) Black or African American
PIGX	3q29	9.18	8.97	0.38	0.38	0.21	3.028e-4	0.0663	(A) Black or African American
GPR1	2q33.3	2.94	2.23	1.27	1.27	0.70	3.031e-4	0.0663	(A) Black or African American
RNASE3	14q11.2	0.69	1.08	0.66	0.92	-0.40	3.179e-4	0.0688	(B) White
PIGZ	3q29	7.16	6.71	0.75	1.07	0.46	3.316e-4	0.0703	(A) Black or African American
MXRA7	17q25.1	11.66	11.26	0.70	0.89	0.41	3.318e-4	0.0703	(A) Black or African American
CHST1	11p11.2	5.11	4.36	1.32	1.50	0.74	3.545e-4	0.0743	(A) Black or African American
EEF1AKMT2	10q26.13	7.64	7.37	0.48	0.52	0.27	3.649e-4	0.0756	(A) Black or African American
PAX1	20p11.22	0.05	0.24	0.17	0.68	-0.20	3.683e-4	0.0756	(B) White
CYP39A1	6p12.3	6.24	5.49	1.30	1.61	0.75	3.727e-4	0.0758	(A) Black or African American
WDR59	16q23.1	9.91	10.14	0.40	0.45	-0.22	3.771e-4	0.0759	(B) White
EFCAB2	1q44	7.72	7.40	0.54	0.71	0.31	3.841e-4	0.0759	(A) Black or African American
ZNF883	9q32	5.67	4.81	1.51	1.78	0.85	3.865e-4	0.0759	(A) Black or African American
CDK5R1	17q11.2	6.23	6.78	1.03	0.98	-0.55	3.885e-4	0.0759	(B) White
FAM138E	15q26.3	0.26	0.57	0.45	0.90	-0.31	4.045e-4	0.0783	(B) White
DDX51	12q24.33	9.39	9.13	0.50	0.51	0.27	4.364e-4	0.0833	(A) Black or African American
KNOP1	16p12.3	8.17	8.40	0.39	0.50	-0.22	4.421e-4	0.0833	(B) White
EDN3	20q13.32	0.85	1.48	1.08	1.47	-0.63	4.469e-4	0.0833	(B) White
SLC22A16	6q21|6q21-q22.1	1.51	0.88	1.22	0.92	0.62	4.504e-4	0.0833	(A) Black or African American
GPIHBP1	8q24.3	5.33	4.70	1.10	1.43	0.63	4.530e-4	0.0833	(A) Black or African American
EXOSC6	16q22.1	7.98	8.26	0.54	0.47	-0.28	4.564e-4	0.0833	(B) White
RIBC2	22q13.31	2.48	3.09	1.14	1.20	-0.62	4.617e-4	0.0833	(B) White
IFT122	3q21.3-q22.1	10.05	10.43	0.70	0.67	-0.37	4.633e-4	0.0833	(B) White
CASP7	10q25.3	8.85	8.56	0.54	0.52	0.29	4.699e-4	0.0837	(A) Black or African American
ZNF213	16p13.3	8.85	9.07	0.41	0.48	-0.23	4.914e-4	0.0867	(B) White
ZNF423	16q12.1	4.95	5.55	1.05	1.35	-0.60	5.033e-4	0.0877	(B) White
RPS26	12q13.2	9.45	9.03	0.78	0.86	0.43	5.054e-4	0.0877	(A) Black or African American
CCL3L1	17q21.1	5.33	4.26	2.01	2.06	1.07	5.134e-4	0.0883	(A) Black or African American
BARX2	11q24.3	6.98	5.89	1.97	2.40	1.10	5.393e-4	0.0911	(A) Black or African American
AJAP1	1p36.32	7.88	6.79	1.98	2.33	1.09	5.423e-4	0.0911	(A) Black or African American
SIDT1	3q13.2	5.31	4.64	1.26	1.35	0.68	5.476e-4	0.0911	(A) Black or African American
WHAMMP2	15q13.1	5.61	5.14	0.88	0.97	0.47	5.619e-4	0.0927	(A) Black or African American
TMEM187	Xq28	7.79	8.12	0.64	0.55	-0.33	5.775e-4	0.0945	(B) White
FGFBP2	4p15.32	3.48	2.86	1.14	1.27	0.61	5.932e-4	0.0960	(A) Black or African American
TBC1D3P1-DHX40P1	17q23.1	0.97	0.53	0.78	0.98	0.44	5.962e-4	0.0960	(A) Black or African American
ZNF295-AS1	21q22.3	0.12	0.30	0.25	0.56	-0.18	6.030e-4	0.0963	(B) White
C11ORF21	11p15.5	3.55	3.01	0.99	1.18	0.54	6.132e-4	0.0972	(A) Black or African American
GBP3	1p22.2	9.84	9.25	1.03	1.47	0.59	6.295e-4	0.0984	(A) Black or African American
NELL1	11p15.1	0.52	1.09	0.82	1.70	-0.56	6.310e-4	0.0984	(B) White
ATP2A3	17p13.2	8.89	8.21	1.25	1.50	0.68	6.453e-4	0.0986	(A) Black or African American
MAPK8IP1P2	17q21.31	4.19	4.65	0.73	1.29	-0.46	6.467e-4	0.0986	(B) White
GUSBP3	5q13.2	4.56	5.09	1.07	0.82	-0.53	6.468e-4	0.0986	(B) White
CROCCP2	1p36.13	8.81	8.41	0.75	0.78	0.39	6.728e-4	0.101	(A) Black or African American
ISM2	14q24.3	1.84	2.70	1.64	1.71	-0.86	6.742e-4	0.101	(B) White
LL22NC03-63E9.3	22q11.22	0.47	0.87	0.70	0.97	-0.40	6.856e-4	0.102	(B) White
SLX4	16p13.3	7.72	7.95	0.44	0.47	-0.23	6.931e-4	0.103	(B) White
SNORD89	2q11.2	0.03	0.12	0.12	0.32	-0.09	7.237e-4	0.106	(B) White
PRIMPOL	4q35.1	6.75	7.05	0.58	0.51	-0.29	7.322e-4	0.106	(B) White
ZNF285	19q13.31	5.71	5.15	1.04	1.29	0.56	7.325e-4	0.106	(A) Black or African American
C3ORF20	3p25.1	0.23	0.47	0.40	0.67	-0.24	8.062e-4	0.113	(B) White
GRAP2	22q13.1	4.79	4.13	1.28	1.33	0.66	8.127e-4	0.113	(A) Black or African American
MSMO1	4q32.3	9.49	9.70	0.40	0.41	-0.20	8.141e-4	0.113	(B) White
PDE6A	5q32	0.71	1.08	0.66	0.90	-0.37	8.168e-4	0.113	(B) White
GZMA	5q11.2	6.34	5.67	1.18	1.70	0.67	8.174e-4	0.113	(A) Black or African American
ALLC	2p25.3	0.25	0.57	0.46	1.01	-0.32	8.416e-4	0.116	(B) White
CPA1	7q32.2	0.09	0.29	0.24	0.73	-0.20	8.622e-4	0.118	(B) White
TCAM1P	17q23.3	0.59	1.05	0.87	1.05	-0.46	9.270e-4	0.126	(B) White
FAM90A1	12p13.31	3.43	4.18	1.43	1.69	-0.75	9.423e-4	0.126	(B) White
CRIP3	6p21.1	5.98	4.85	2.24	2.20	1.13	9.427e-4	0.126	(A) Black or African American
MCOLN2	1p22.3	4.94	4.32	1.16	1.40	0.61	9.671e-4	0.129	(A) Black or African American
TCTEX1D1	1p31.3	3.05	2.56	0.97	1.00	0.49	9.745e-4	0.129	(A) Black or African American
RNF40	16p11.2	11.61	11.80	0.36	0.41	-0.19	1.007e-3	0.132	(B) White
CD6	11q12.2	6.88	6.21	1.26	1.52	0.66	1.013e-3	0.132	(A) Black or African American
TARP	7p14.1	3.17	2.57	1.14	1.42	0.60	1.028e-3	0.132	(A) Black or African American
ARL17B	17q21.31	1.24	1.67	0.84	0.92	-0.43	1.030e-3	0.132	(B) White
ATP6V1D	14q23.3	11.09	10.86	0.43	0.54	0.23	1.033e-3	0.132	(A) Black or African American
PWP2	21q22.3	9.02	8.80	0.44	0.48	0.22	1.037e-3	0.132	(A) Black or African American
FCER1A	1q23.2	6.23	5.39	1.65	1.81	0.84	1.053e-3	0.133	(A) Black or African American
CETN4P	4q27	2.24	1.78	0.96	0.81	0.46	1.056e-3	0.133	(A) Black or African American
CREB3L3	19p13.3	1.63	2.54	1.60	2.49	-0.91	1.062e-3	0.133	(B) White
NDUFAF8	17q25.3	8.43	8.83	0.79	0.87	-0.40	1.088e-3	0.135	(B) White
CCL4L1	17q12	6.29	5.43	1.68	1.93	0.86	1.103e-3	0.136	(A) Black or African American
FBLL1	5q34	2.63	3.67	2.13	1.98	-1.04	1.128e-3	0.138	(B) White
SERPINA5	14q32.13	7.55	6.28	2.72	1.79	1.26	1.153e-3	0.140	(A) Black or African American
CD2	1p13.1	7.19	6.50	1.32	1.69	0.69	1.164e-3	0.140	(A) Black or African American
TNNI3K	1p31.1	3.32	4.09	1.54	1.58	-0.77	1.176e-3	0.140	(B) White
HIST1H4A	6p22.2	0.12	0.28	0.29	0.44	-0.16	1.180e-3	0.140	(B) White
KLRD1	12p13.2	4.69	4.08	1.24	1.19	0.61	1.184e-3	0.140	(A) Black or African American
APOBEC3H	22q13.1	2.70	3.20	0.96	1.20	-0.50	1.191e-3	0.140	(B) White
PDE2A	11q13.4	6.24	5.69	1.03	1.32	0.54	1.193e-3	0.140	(A) Black or African American
NKG7	19q13.41	6.75	6.08	1.25	1.72	0.67	1.215e-3	0.142	(A) Black or African American
CD101	1p13.1	5.08	4.69	0.76	0.94	0.39	1.231e-3	0.143	(A) Black or African American
EXOC7	17q25.1	12.12	12.27	0.29	0.33	-0.15	1.241e-3	0.144	(B) White
MFSD11	17q25.1-q25.2	8.44	8.62	0.37	0.36	-0.18	1.249e-3	0.144	(B) White
TSNARE1	8q24.3	7.68	7.91	0.43	0.53	-0.22	1.270e-3	0.145	(B) White
DNASE1L3	3p14.3	5.78	5.07	1.39	1.67	0.71	1.311e-3	0.149	(A) Black or African American
TAOK2	16p11.2	10.75	10.93	0.36	0.36	-0.18	1.314e-3	0.149	(B) White
ROBO4	11q24.2	7.72	7.23	0.96	1.13	0.49	1.333e-3	0.149	(A) Black or African American
ADAL	15q15.3	7.53	7.79	0.50	0.63	-0.26	1.335e-3	0.149	(B) White
FAM138F	19p13.3	1.11	1.62	1.02	1.20	-0.52	1.366e-3	0.152	(B) White
DHRS4-AS1	14q11.2	8.83	9.24	0.87	0.74	-0.41	1.391e-3	0.154	(B) White
TMEM61	1p32.3	5.24	4.40	1.71	1.78	0.84	1.404e-3	0.154	(A) Black or African American
KLRC1	12p13.2	2.19	1.54	1.36	1.22	0.65	1.436e-3	0.157	(A) Black or African American
IQCF1	3p21.2	0.81	1.30	0.97	1.18	-0.49	1.445e-3	0.157	(B) White
DCLRE1C	10p13	7.62	7.28	0.73	0.66	0.35	1.449e-3	0.157	(A) Black or African American
CYP19A1	15q21.2	1.23	1.77	1.07	1.33	-0.55	1.460e-3	0.157	(B) White
ENGASE	17q25.3	9.08	9.51	0.88	0.93	-0.43	1.464e-3	0.157	(B) White
LOC100132287	1p36.33	7.45	7.90	0.93	0.95	-0.45	1.490e-3	0.159	(B) White
STX19	3q11.2	0.67	1.03	0.68	0.98	-0.36	1.523e-3	0.161	(B) White
MRPS7	17q25.1	10.60	10.83	0.50	0.50	-0.24	1.525e-3	0.161	(B) White
KCNK13	14q32.11	5.50	4.87	1.33	1.26	0.64	1.535e-3	0.161	(A) Black or African American
HIRIP3	16p11.2	8.92	9.16	0.49	0.48	-0.23	1.562e-3	0.163	(B) White
TMEM163	2q21.3	7.49	8.40	1.90	1.88	-0.91	1.587e-3	0.165	(B) White
ZNF696	8q24.3	7.40	7.61	0.44	0.45	-0.21	1.619e-3	0.166	(B) White
GAL	11q13.2	2.40	1.38	2.26	1.62	1.03	1.619e-3	0.166	(A) Black or African American
SLAMF7	1q23.3	6.94	6.17	1.53	1.83	0.77	1.630e-3	0.166	(A) Black or African American
C16ORF58	16p11.2	11.47	11.68	0.45	0.39	-0.21	1.633e-3	0.166	(B) White
PRRG2	19q13.33	7.53	6.66	1.78	1.97	0.87	1.651e-3	0.167	(A) Black or African American
RPS28	19p13.2	5.77	7.21	2.99	3.08	-1.44	1.683e-3	0.169	(B) White
NUDT4	12q22	10.11	9.72	0.83	0.75	0.39	1.693e-3	0.170	(A) Black or African American
KCNG4	16q24.1	0.04	0.19	0.15	0.57	-0.14	1.708e-3	0.170	(B) White
ZNF878	19p13.2	2.54	2.13	0.87	0.81	0.41	1.735e-3	0.172	(A) Black or African American
SIGLEC17P	19q13.41	3.94	3.16	1.69	1.51	0.79	1.764e-3	0.173	(A) Black or African American
IL16	15q25.1	8.16	7.71	0.87	1.14	0.45	1.770e-3	0.173	(A) Black or African American
FKRP	19q13.32	8.24	8.42	0.38	0.36	-0.18	1.770e-3	0.173	(B) White
SLC22A17	14q11.2	10.11	9.71	0.77	1.07	0.40	1.778e-3	0.173	(A) Black or African American
BTN3A3	6p22.2	8.43	8.73	0.62	0.64	-0.30	1.783e-3	0.173	(B) White
BLNK	10q24.1	7.72	7.12	1.23	1.41	0.60	1.799e-3	0.173	(A) Black or African American
IGLL3P	22q11.23	0.65	1.06	0.80	1.10	-0.41	1.801e-3	0.173	(B) White
UPF3A	13q34	9.38	9.14	0.50	0.51	0.24	1.809e-3	0.173	(A) Black or African American
MPP1	Xq28	10.48	10.21	0.51	0.79	0.27	1.892e-3	0.180	(A) Black or African American
TRAPPC2L	16q24.3	9.43	9.80	0.78	0.72	-0.36	1.902e-3	0.180	(B) White
POLR2J3	7q22.1	10.23	9.84	0.82	0.92	0.40	1.929e-3	0.181	(A) Black or African American
DSC1	18q12.1	0.29	0.53	0.47	0.61	-0.24	1.941e-3	0.181	(B) White
PCDH12	5q31.3	6.89	6.37	1.10	1.19	0.53	1.953e-3	0.181	(A) Black or African American
GMPR	6p22.3	8.17	7.73	0.87	1.13	0.44	1.956e-3	0.181	(A) Black or African American
SPATA16	3q26.31	0.04	0.15	0.15	0.40	-0.11	1.960e-3	0.181	(B) White
ZNF322P1	9q22.33	4.69	4.46	0.47	0.50	0.23	1.982e-3	0.182	(A) Black or African American
USP36	17q25.3	10.11	10.30	0.41	0.41	-0.19	1.990e-3	0.182	(B) White
SSPO	7q36.1	4.06	3.25	1.76	1.58	0.81	2.026e-3	0.184	(A) Black or African American
SLC22A5	5q31.1	10.45	10.86	0.87	0.89	-0.41	2.030e-3	0.184	(B) White
TMEM255A	Xq24	6.74	5.78	2.00	2.31	0.97	2.073e-3	0.187	(A) Black or African American
KMO	1q43	5.72	6.52	1.74	1.68	-0.81	2.095e-3	0.188	(B) White
CDH15	16q24.3	0.65	1.04	0.72	1.13	-0.39	2.106e-3	0.188	(B) White
CHMP4C	8q21.13	8.60	8.35	0.49	0.62	0.24	2.158e-3	0.192	(A) Black or African American
EMBP1	1p11.2	4.14	3.67	0.94	1.20	0.47	2.168e-3	0.192	(A) Black or African American
RCL1	9p24.1	8.53	8.32	0.45	0.48	0.21	2.202e-3	0.193	(A) Black or African American
POLH	6p21.1	9.92	9.60	0.72	0.57	0.32	2.206e-3	0.193	(A) Black or African American
LAMP3	3q27.1	5.55	4.86	1.48	1.52	0.69	2.223e-3	0.194	(A) Black or African American
DUSP22	6p25.3	9.64	9.48	0.34	0.44	0.17	2.237e-3	0.194	(A) Black or African American
DHX58	17q21.2	9.04	9.31	0.59	0.62	-0.28	2.269e-3	0.195	(B) White
SERPINC1	1q25.1	2.46	1.76	1.53	1.40	0.69	2.270e-3	0.195	(A) Black or African American
TBX21	17q21.32	4.13	3.62	1.02	1.34	0.51	2.289e-3	0.195	(A) Black or African American
ZBED3-AS1	5q13.3	4.22	4.59	0.80	0.80	-0.37	2.295e-3	0.195	(B) White
NOBOX	7q35	0.01	0.13	0.07	0.53	-0.12	2.311e-3	0.195	(B) White
MCOLN3	1p22.3	5.44	4.38	2.31	2.23	1.06	2.319e-3	0.195	(A) Black or African American
SNORD94	2p11.2	0.25	0.48	0.41	0.68	-0.22	2.335e-3	0.195	(B) White
ACLY	17q21.2	11.92	12.20	0.60	0.65	-0.28	2.340e-3	0.195	(B) White
THEMIS	6q22.33	4.07	3.45	1.33	1.44	0.63	2.368e-3	0.195	(A) Black or African American
MMP26	11p15.4	0.07	0.21	0.24	0.47	-0.14	2.373e-3	0.195	(B) White
GMNN	6p22.3	7.64	7.34	0.66	0.56	0.30	2.380e-3	0.195	(A) Black or African American
WDR90	16p13.3	9.53	9.96	0.94	0.83	-0.42	2.393e-3	0.195	(B) White
ATXN2L	16p11.2	11.34	11.52	0.40	0.42	-0.19	2.396e-3	0.195	(B) White
NOMO3	16p13.11	10.17	10.42	0.50	0.62	-0.24	2.397e-3	0.195	(B) White
KIRREL2	19q13.12	0.38	0.78	0.76	1.14	-0.39	2.399e-3	0.195	(B) White
CABP4	11q13.2	2.33	3.16	1.66	2.22	-0.83	2.443e-3	0.197	(B) White
CD96	3q13.13-q13.2	6.11	5.48	1.31	1.52	0.62	2.451e-3	0.197	(A) Black or African American
OR14J1	6p22.1	0.01	0.07	0.05	0.27	-0.06	2.461e-3	0.197	(B) White
CBWD6	9p11.2	6.38	6.71	0.72	0.71	-0.33	2.466e-3	0.197	(B) White
GADD45A	1p31.3	9.62	10.06	0.96	0.96	-0.44	2.486e-3	0.197	(B) White
CD300C	17q25.1	4.76	5.26	1.03	1.25	-0.50	2.498e-3	0.197	(B) White
MICA	6p21.33	8.28	8.59	0.67	0.70	-0.31	2.499e-3	0.197	(B) White
MCTP2	15q26.2	8.42	8.14	0.60	0.73	0.29	2.504e-3	0.197	(A) Black or African American
RHOH	4p14	5.60	5.04	1.12	1.47	0.55	2.519e-3	0.197	(A) Black or African American
CETP	16q13	6.45	5.75	1.39	1.96	0.70	2.522e-3	0.197	(A) Black or African American
HSPA1B	6p21.33	10.52	10.97	0.94	1.07	-0.44	2.532e-3	0.197	(B) White
TMEM52B	12p13.2	5.51	4.48	2.37	1.68	1.03	2.542e-3	0.197	(A) Black or African American
POU1F1	3p11.2	0.20	0.37	0.36	0.43	-0.17	2.561e-3	0.197	(B) White
HYAL1	3p21.31	9.99	9.45	1.10	1.43	0.54	2.566e-3	0.197	(A) Black or African American
POU2F2	19q13.2	5.93	5.44	1.04	1.18	0.49	2.583e-3	0.197	(A) Black or African American
SLC35E2A	1p36.33	5.03	5.51	1.04	1.04	-0.48	2.585e-3	0.197	(B) White
GBP4	1p22.2	8.14	7.65	1.03	1.27	0.50	2.587e-3	0.197	(A) Black or African American
RNU11	1p35.3	0.08	0.22	0.25	0.48	-0.14	2.618e-3	0.199	(B) White
GPR18	13q32.3	3.37	2.88	1.04	1.19	0.49	2.696e-3	0.203	(A) Black or African American
SNORA20	6q25.3	0.03	0.11	0.14	0.27	-0.08	2.707e-3	0.203	(B) White
TMLHE	Xq28	7.95	7.70	0.54	0.62	0.25	2.712e-3	0.203	(A) Black or African American
TPGS2	18q12.2	10.24	9.99	0.55	0.52	0.25	2.718e-3	0.203	(A) Black or African American
GNLY	2p11.2	5.46	4.82	1.32	1.72	0.65	2.721e-3	0.203	(A) Black or African American
PDE9A	21q22.3	9.22	8.90	0.68	0.74	0.32	2.729e-3	0.203	(A) Black or African American
FAM3A	Xq28	10.36	10.14	0.47	0.56	0.22	2.744e-3	0.203	(A) Black or African American
WDR64	1q43	0.25	0.46	0.42	0.55	-0.20	2.755e-3	0.203	(B) White
KRT78	12q13.13	0.14	0.37	0.41	0.78	-0.23	2.806e-3	0.205	(B) White
